
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
 ------    -----      -----     ------      --  -- -----------
     12     4.35       4.30       0.00    5792   0 ALsvc
     24    22.57      38.73       0.08   17456   1 ApplicationFrameHost
      9     3.38       7.42       0.00    5448   0 armsvc
     11     8.05      12.72       0.03    4724   0 audiodg
     35    16.46      31.26       0.09    1684   1 chrome
     23    30.17      55.07       0.55    1688   1 chrome
     45   112.44     146.60       4.41    2676   1 chrome
     17    19.78      49.76       0.39    3084   1 chrome
    118    27.01      49.48       5.58    4316   1 chrome
     45    28.11      53.57       0.44    4556   1 chrome
     43    26.47      55.16       0.39    4564   1 chrome
     41    24.13      47.69       0.48    6276   1 chrome
     28   168.75     220.67       8.27    7140   1 chrome
     44     9.15      19.87       0.06    7180   1 chrome
     17    23.68      47.11       0.38    8188   1 chrome
     25    24.16      47.25       0.36    9056   1 chrome
     51    12.19      24.18       1.00    9748   1 chrome
     50   112.59     161.43       5.91    9992   1 chrome
     26    11.24      21.05       0.20   11292   1 chrome
     29    34.16      70.88       1.80   11640   1 chrome
     16    24.04      46.67       0.44   13496   1 chrome
     16     4.18       9.25       0.03   13584   1 chrome
     95   133.12     221.00      15.33   13768   1 chrome
     35    51.37     103.46      11.70   14168   1 chrome
     46     9.92      17.68       0.03   15248   1 chrome
     20    23.41      47.70       0.36   16760   1 chrome
     69   242.71     282.90      26.58   17564   1 chrome
     51   112.59     175.91       6.64   17620   1 chrome
     37    25.90      59.79       0.36   18092   1 chrome
     11     3.37       7.31       0.00    9240   0 collector
     29    15.21      26.91       0.17   15928   1 concentr
      9     9.40      12.45       0.00    4160   0 conhost
      8     9.32      11.29       0.00    5368   0 conhost
     12     9.79      14.65       0.00    6848   0 conhost
     12     9.82      14.70       0.00    8204   0 conhost
     12     9.79      14.70       0.00    8216   0 conhost
     12     9.79      14.74       0.00    8868   0 conhost
      9     9.43      12.08       0.00    9256   0 conhost
      8     9.31      11.43       0.00   10500   0 conhost
